extracted_at,id,rank,title,year_published
1662523283.447861,369270,1,Astra,2022
1662523283.447861,342942,2,Ark Nova,2021
1662523283.447861,368854,3,Crossing Oceans,2022
1662523283.447861,369751,4,Sagrada: Artisans,2023
1662523283.447861,367295,5,Powerline,2022
1662523283.447861,251661,6,Oathsworn: Into the Deepwood,2022
1662523283.447861,291453,7,SCOUT,2019
1662523283.447861,316554,8,Dune: Imperium,2020
1662523283.447861,162886,9,Spirit Island,2017
1662523283.447861,227935,10,Wonderland's War,2022
1662523283.447861,347305,11,Inventions: Evolution of Ideas,2023
1662523283.447861,266064,12,Trudvang Legends,2022
1662523283.447861,167791,13,Terraforming Mars,2016
1662523283.447861,365717,14,Clank! Catacombs,2022
1662523283.447861,312744,15,Titanic,2020
1662523283.447861,368761,16,Rivet Wars: Reloaded,2024
1662523283.447861,1326,17,MacGregor,1998
1662523283.447861,224517,18,Brass: Birmingham,2018
1662523283.447861,205637,19,Arkham Horror: The Card Game,2016
1662523283.447861,285774,20,Marvel Champions: The Card Game,2019
1662523283.447861,312484,21,Lost Ruins of Arnak,2020
1662523283.447861,174430,22,Gloomhaven,2017
1662523283.447861,266192,23,Wingspan,2019
1662523283.447861,237182,24,Root,2018
1662523283.447861,369646,25,Disney Lorcana,2023
1662523283.447861,199792,26,Everdell,2018
1662523283.447861,362944,27,War of the Ring: The Card Game,2022
1662523283.447861,295947,28,Cascadia,2021
1662523283.447861,199561,29,Sagrada,2017
1662523283.447861,341636,30,RoboMon,2023
1662523283.447861,348450,31,Lacrimosa,2022
1662523283.447861,310873,32,Carnegie,2022
1662523283.447861,169786,33,Scythe,2016
1662523283.447861,167355,34,Nemesis,2018
1662523283.447861,359970,35,Challengers!,2022
1662523283.447861,355093,36,Woodcraft,2022
1662523283.447861,115746,37,War of the Ring: Second Edition,2011
1662523283.447861,255984,38,Sleeping Gods,2021
1662523283.447861,251247,39,Barrage,2019
1662523283.447861,354934,40,Legacy of Yu,2023
1662523283.447861,291457,41,Gloomhaven: Jaws of the Lion,2020
1662523283.447861,77423,42,The Lord of the Rings: The Card Game,2011
1662523283.447861,367498,43,Horizons of Spirit Island,2022
1662523283.447861,244521,44,The Quacks of Quedlinburg,2018
1662523283.447861,233078,45,Twilight Imperium: Fourth Edition,2017
1662523283.447861,323612,46,Bitoku,2021
1662523283.447861,230802,47,Azul,2017
1662523283.447861,332772,48,Revive,2022
1662523283.447861,264220,49,Tainted Grail: The Fall of Avalon,2019
1662523283.447861,336986,50,Flamecraft,2022
