avg_rating,extracted_at,geek_rating,id,num_voters,rank,short_description,title,type,year_published
8.7,1663732921.930321,8.467,174430,52234.0,1,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,Gloomhaven,boardgame,2017
8.66,1663732921.930321,8.429,224517,30844.0,2,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",Brass: Birmingham,boardgame,2018
8.57,1663732921.930321,8.422,161936,47675.0,3,Mutating diseases are spreading around the world - can your team save humanity?,Pandemic Legacy: Season 1,boardgame,2015
8.63,1663732921.930321,8.266,342942,16939.0,4,"Plan and build a modern, scientifically managed zoo to support conservation projects.",Ark Nova,boardgame,2021
8.59,1663732921.930321,8.255,291457,22509.0,5,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,Gloomhaven: Jaws of the Lion,boardgame,2020
8.4,1663732921.930321,8.254,167791,81833.0,6,Compete with rival CEOs to make Mars habitable and build your corporate empire.,Terraforming Mars,boardgame,2016
8.64,1663732921.930321,8.246,233078,18277.0,7,"Build an intergalactic empire through trade, research, conquest and grand politics.",Twilight Imperium: Fourth Edition,boardgame,2017
8.42,1663732921.930321,8.169,187645,27671.0,8,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,Star Wars: Rebellion,boardgame,2016
8.44,1663732921.930321,8.162,220308,21870.0,9,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",Gaia Project,boardgame,2017
8.52,1663732921.930321,8.153,115746,17203.0,10,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,War of the Ring: Second Edition,boardgame,2011
8.37,1663732921.930321,8.15,162886,38101.0,11,Island Spirits join forces using elemental powers to defend their home from invaders.,Spirit Island,boardgame,2017
8.35,1663732921.930321,8.123,182028,27559.0,12,Rewrite history as you build up your civilization in this epic card drafting game!,Through the Ages: A New Story of Civilization,boardgame,2015
8.27,1663732921.930321,8.106,193738,35869.0,13,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,Great Western Trail,boardgame,2016
8.27,1663732921.930321,8.098,12333,44820.0,14,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,Twilight Struggle,boardgame,2005
8.34,1663732921.930321,8.076,316554,24511.0,15,"Influence, intrigue, and combat in the universe of Dune.",Dune: Imperium,boardgame,2020
8.2,1663732921.930321,8.043,169786,70510.0,16,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",Scythe,boardgame,2016
8.13,1663732921.930321,8.006,84876,54204.0,17,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",The Castles of Burgundy,boardgame,2011
8.34,1663732921.930321,7.979,167355,21880.0,18,Survive an alien-infested spaceship but beware of other players and their agendas.,Nemesis,boardgame,2018
8.1,1663732921.930321,7.979,173346,77054.0,19,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7 Wonders Duel,boardgame,2015
8.19,1663732921.930321,7.965,28720,22108.0,20,Test your economic mettle as you build and network in the Industrial Revolution.,Brass: Lancashire,boardgame,2007
8.12,1663732921.930321,7.964,124361,34401.0,21,Traders compete to build the greatest empire in the Roman Mediterranean.,Concordia,boardgame,2013
8.19,1663732921.930321,7.954,177736,23116.0,22,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",A Feast for Odin,boardgame,2016
8.11,1663732921.930321,7.946,120677,43800.0,23,Play fantastical factions.  Expand your influence by terraforming and joining cults.,Terra Mystica,boardgame,2012
8.08,1663732921.930321,7.934,266192,67051.0,24,Attract a beautiful and diverse collection of birds to your wildlife preserve.,Wingspan,boardgame,2019
8.15,1663732921.930321,7.921,205637,36683.0,25,Investigate the horrors of Arkham while courting cosmic doom.,Arkham Horror: The Card Game,boardgame,2016
8.63,1663732921.930321,7.914,266507,6528.0,26,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",Clank!: Legacy – Acquisitions Incorporated,boardgame,2019
8.58,1663732921.930321,7.911,246900,7966.0,27,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",Eclipse: Second Dawn for the Galaxy,boardgame,2020
8.09,1663732921.930321,7.894,237182,37597.0,28,Decide the fate of the forest as woodland factions fight for contrasting goals.,Root,boardgame,2018
8.04,1663732921.930321,7.881,183394,39553.0,29,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,Viticulture Essential Edition,boardgame,2015
8.08,1663732921.930321,7.879,199792,36843.0,30,Gather resources to develop a harmonious village of woodland critters and structures.,Everdell,boardgame,2018
8.07,1663732921.930321,7.879,164928,26751.0,31,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",Orléans,boardgame,2014
8.1,1663732921.930321,7.877,312484,26634.0,32,Explore an island to find resources and discover the lost ruins of Arnak.,Lost Ruins of Arnak,boardgame,2020
8.09,1663732921.930321,7.868,96848,30658.0,33,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",Mage Knight Board Game,boardgame,2011
8.1,1663732921.930321,7.831,175914,17079.0,34,Strategically hire and manage your workforce to outcompete rival fast food chains.,Food Chain Magnate,boardgame,2015
8.22,1663732921.930321,7.828,251247,11994.0,35,Nations vie for hydroelectric dominance in a dystopia where water is power.,Barrage,boardgame,2019
8.18,1663732921.930321,7.821,285774,17556.0,36,Battle Marvel villains with unique teams of iconic heroes in this LCG.,Marvel Champions: The Card Game,boardgame,2019
7.95,1663732921.930321,7.816,3076,67213.0,37,"Ship goods, construct buildings, and choose roles that benefit you more than others.",Puerto Rico,boardgame,2002
8.4,1663732921.930321,7.808,192135,9156.0,38,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,Too Many Bones,boardgame,2017
7.99,1663732921.930321,7.808,102794,31140.0,39,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",Caverna: The Cave Farmers,boardgame,2013
7.97,1663732921.930321,7.798,170216,40748.0,40,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,Blood Rage,boardgame,2015
8.31,1663732921.930321,7.793,256960,8979.0,41,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",Pax Pamir: Second Edition,boardgame,2019
7.91,1663732921.930321,7.789,31260,68253.0,42,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,Agricola,boardgame,2007
8.09,1663732921.930321,7.78,247763,14905.0,43,"Develop future cities on the seafloor through politics, production, and science.",Underwater Cities,boardgame,2018
8.13,1663732921.930321,7.766,276025,12731.0,44,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,Maracaibo,boardgame,2019
8.11,1663732921.930321,7.765,185343,14913.0,45,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,Anachrony,boardgame,2017
8.08,1663732921.930321,7.761,221107,14766.0,46,The world is a mystery after a devastating pandemic—where will your team go?,Pandemic Legacy: Season 2,boardgame,2017
8.0,1663732921.930321,7.76,205059,31045.0,47,Unravel mysteries in Arkham with your investigative team in this app-guided game.,Mansions of Madness: Second Edition,boardgame,2016
8.33,1663732921.930321,7.751,324856,7253.0,48,Dive into the deep sea in this co-operative trick-taking game.,The Crew: Mission Deep Sea,boardgame,2021
7.91,1663732921.930321,7.742,284083,31208.0,49,Go on a planet-discovering space mission in this cooperative trick-taking game.,The Crew: The Quest for Planet Nine,boardgame,2019
8.24,1663732921.930321,7.738,184267,9393.0,50,"Be a part of the first Martian colony, striving to be the best contributor.",On Mars,boardgame,2020
7.88,1663732921.930321,7.733,126163,35251.0,51,"Lead your people, build monuments and make offerings to earn the favour of the gods.",Tzolk'in: The Mayan Calendar,boardgame,2012
7.83,1663732921.930321,7.727,2651,60730.0,52,"Bid, network, and manage resources in a race to supply the most cities with power.",Power Grid,boardgame,2004
7.97,1663732921.930321,7.711,216132,18025.0,53,"Lead your unique Scottish clan to economic might via production, trade, and export.",Clans of Caledonia,boardgame,2017
7.86,1663732921.930321,7.705,35677,29271.0,54,"Establish a supply chain by collecting resources, building industries, and shipping.",Le Havre,boardgame,2008
7.98,1663732921.930321,7.704,521,14741.0,55,Flick discs and make trick shots in this traditional Canadian dexterity game!,Crokinole,boardgame,1876
7.99,1663732921.930321,7.704,164153,22788.0,56,Play as Rebel or Imperial forces to fulfill mission objectives.,Star Wars: Imperial Assault,boardgame,2014
8.56,1663732921.930321,7.701,55690,8607.0,57,Try to survive in a nightmarish world that lies under eternal darkness.,Kingdom Death: Monster,boardgame,2015
8.0,1663732921.930321,7.698,209010,15947.0,58,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,Mechs vs. Minions,boardgame,2016
8.2,1663732921.930321,7.695,161533,8824.0,59,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,Lisboa,boardgame,2017
8.53,1663732921.930321,7.694,314040,5039.0,60,Work together during the Cold War to prevent a Soviet bio-threat.,Pandemic Legacy: Season 0,boardgame,2020
